Audio,PalavraAlvo,Item,Group
VAQUINHA1.mp3,LEITE,1,A
MACACO1.mp3,FLORESTA,2,A
PIRANHA1.mp3,PEIXE,3,A
PERUA1.mp3,FAZENDA,4,A
GATO1.mp3,RAÇÃO,5,A
AVIÃOZINHO1.mp3,ÁLCOOL,6,A
MOÇA1.mp3,AÇÚCAR,7,A
BRUXA1.mp3,INSETO,8,A
CAIPIRINHA1.mp3,COPO,9,A
BEIJINHO1.mp3,COCADA,10,A
FLANELINHA1.mp3,TATU,11,A
BUCHINHA1.mp3,VENTANIA,12,A
PAPELÃO1.mp3,MOSQUITO,13,A
MOCHILÃO1.mp3,VITRINE,14,A
CAIXÃO1.mp3,BORBOLETA,15,A
TOLUCA1.mp3,TOLUCA,16,A
PANDECA1.mp3,PANDECA,17,A
VILCOLTO1.mp3,VILCOLTO,18,A
TREMOÇO1.mp3,TREMOÇO,19,A
AZEDUME1.mp3,AZEDUME,20,A
BOÇAL1.mp3,BOÇAL,21,A
SIDEBO1.mp3,SIDEBO,22,A
ASTÚCIA1.mp3,ASTÚCIA,23,A
LINETO1.mp3,LINETO,24,A
BALÚSTRE1.mp3,BALAÚSTRE,25,A
CALOREDA1.mp3,CALOREDA,26,A
POCILGA1.mp3,POCILGA,27,A
PARAVO1.mp3,PARAVO,28,A
EFLÚVIO1.mp3,EFLÚVIO,29,A
BINOTA1.mp3,BINOTA,30,A
LABÉU1.mp3,LABÉU,31,A
DINOSCADO1.mp3,DINOSCADO,32,A
CUNTATÓRIO.mp3,CUNTATÓRIO,33,A
MOSFIGUE1.mp3,MOSFIGUE,34,A
INÓCUO1.mp3,INÓCUO,35,A
BATISCARIA1.mp3,BATISCARIA,36,A
LOQUAZ1.mp3,LOQUAZ,37,A
CHECARIO1.mp3,CHECARIO,38,A
QUIMERA1.mp3,QUIMERA,39,A
GUETIACHO1.mp3,GUETIACHO,40,A
RUFIÃO1.mp3,RUFIÃO,41,A
PITEDA1.mp3,PITEDA,42,A
TREBODA1.mp3,TREBODA,43,A
ZARAGATOA1.mp3,ZARAGATOA,44,A
BELICOSO1.mp3,BELICOSO,45,A
VAQUINHA1.mp3,DOAÇÃO,1,B
MACACO1.mp3,FERRAMENTA,2,B
PIRANHA1.mp3,PENTE,3,B
PERUA1.mp3,VEÍCULO,4,B
GATO1.mp3,FIAÇÃO,5,B
AVIÃOZINHO1.mp3,TOMATE,6,B
MOÇA1.mp3,JANELA,7,B
BRUXA1.mp3,CANETA,8,A
CAIPIRINHA1.mp3,MAPA,9,A
BEIJINHO1.mp3,AGULHA,10,B
FLANELINHA1.mp3,PANO,11,B
BUCHINHA1.mp3,LIMPEZA,12,B
PAPELÃO1.mp3,RECICLAGEM,13,B
MOCHILÃO1.mp3,ESTOJO,14,B
CAIXÃO1.mp3,EMBALAGEM,15,B
TOLUCA1.mp3,TOLUCA,16,B
PANDECA1.mp3,PANDECA,17,B
